LoanId,AmountDisbursed,Interest,LoanBalance,BorrowDate,Loantype,Product,Branch,ClearDate,CustomerId,default,current_balance,Gender,LoanLimit,CreditScore,Status,Date Created,repayment_txn_count,repayment_total_paid,loan_first_repayment,loan_last_repayment,missed_instalments
603546,7000,2000,0,9/25/2023,Repeat,5 WEEKS CREDIT EASE,MOLO,10/30/2023,983,0,,,,,,,,,,,5
603557,8000,2250,0,9/25/2023,Repeat,5 WEEKS CREDIT EASE,MOLO,10/30/2023,1006,0,,,,,,,,,,,5
603586,14000,7500,0,9/25/2023,Repeat,10 WEEKS CREDIT EASE,MOLO,4/12/2023,770,0,,,,,,,,,,,10
603634,10000,2750,0,9/25/2023,Repeat,5 WEEKS CREDIT EASE,MOLO,10/30/2023,920,0,,,,,,,,,,,5
603659,5000,1500,0,9/25/2023,Repeat,5 WEEKS CREDIT EASE,MOLO,10/30/2023,1015,0,,,,,,,,,,,5
603746,7000,2000,0,9/25/2023,Repeat,5 WEEKS CREDIT EASE,MOLO,10/30/2023,985,0,,,,,,,,,,,5
603753,5000,1500,0,9/25/2023,Repeat,5 WEEKS CREDIT EASE,MOLO,10/30/2023,1048,0,,,,,,,,,,,5
603785,5000,1500,0,9/25/2023,Repeat,5 WEEKS CREDIT EASE,MOLO,10/30/2023,1049,0,,,,,,,,,,,5
604040,26000,9450,0,9/26/2023,Repeat,7 WEEKS CREDIT EASE,MOLO,11/14/2023,679,0,,,,,,,,,,,7
604131,20000,7350,0,9/26/2023,Repeat,7 WEEKS CREDIT EASE,MOLO,11/14/2023,495,0,,,,,,,,,,,7
604181,15000,5600,0,9/26/2023,Repeat,7 WEEKS CREDIT EASE,MOLO,11/14/2023,924,0,,,,,,,,,,,7
604366,5000,1500,0,9/26/2023,Repeat,5 WEEKS CREDIT EASE,MOLO,10/31/2023,79,0,,,,,,,,,,,5
604371,25000,9100,0,9/26/2023,Repeat,7 WEEKS CREDIT EASE,MOLO,11/14/2023,452,0,,,,,,,,,,,7
604402,8000,2250,0,9/26/2023,Repeat,5 WEEKS CREDIT EASE,MOLO,10/31/2023,1021,0,,,,,,,,,,,5
604425,5000,1500,0,9/27/2023,Repeat,5 WEEKS CREDIT EASE,MOLO,1/11/2023,986,0,,,,,,,,,,,5
604481,10000,3850,0,9/27/2023,Repeat,7 WEEKS CREDIT EASE,MOLO,11/15/2023,648,0,,,,,,,,,,,7
604484,5000,1500,0,9/27/2023,Repeat,5 WEEKS CREDIT EASE,MOLO,1/11/2023,1005,0,,,,,,,,,,,5
604486,5000,1500,0,9/27/2023,Repeat,5 WEEKS CREDIT EASE,MOLO,1/11/2023,756,0,,,,,,,,,,,5
604532,10000,5500,0,9/27/2023,Repeat,10 WEEKS CREDIT EASE,MOLO,6/12/2023,939,0,,,,,,,,,,,10
604560,5000,1500,0,9/27/2023,Repeat,5 WEEKS CREDIT EASE,MOLO,1/11/2023,1037,0,,,,,,,,,,,5
604703,8000,2250,0,9/27/2023,Repeat,5 WEEKS CREDIT EASE,MOLO,1/11/2023,265,0,,,,,,,,,,,5
604713,12000,4550,0,9/27/2023,Repeat,7 WEEKS CREDIT EASE,MOLO,11/15/2023,498,0,,,,,,,,,,,7
604810,5000,1500,0,9/27/2023,Repeat,5 WEEKS CREDIT EASE,MOLO,1/11/2023,987,0,,,,,,,,,,,5
604826,7000,2800,0,9/27/2023,Repeat,7 WEEKS CREDIT EASE,MOLO,11/15/2023,300,0,,,,,,,,,,,7
604875,10000,2750,0,9/27/2023,Repeat,5 WEEKS CREDIT EASE,MOLO,1/11/2023,444,0,,,,,,,,,,,5
605035,7000,2000,0,9/28/2023,Repeat,5 WEEKS CREDIT EASE,MOLO,2/11/2023,1030,0,,,,,,,,,,,5
605040,8000,2250,0,9/28/2023,Repeat,5 WEEKS CREDIT EASE,MOLO,2/11/2023,813,0,,,,,,,,,,,5
605129,5000,1500,0,9/28/2023,Repeat,5 WEEKS CREDIT EASE,MOLO,2/11/2023,1050,0,,,,,,,,,,,5
605155,9000,2500,0,9/28/2023,Repeat,5 WEEKS CREDIT EASE,MOLO,2/11/2023,927,0,,,,,,,,,,,5
605167,6000,2450,0,9/28/2023,Repeat,7 WEEKS CREDIT EASE,MOLO,11/16/2023,844,0,,,,,,,,,,,7
605199,5000,1500,0,9/28/2023,Repeat,5 WEEKS CREDIT EASE,MOLO,2/11/2023,1051,0,,,,,,,,,,,5
